,name,place,description
153,bangalore,Ragigudda Anjaneya Temple,"Anjaneya or Hanumana is one of the very popular Hindu gods among the rural as well as among the urban people. Ragigudda Anjaneya Temple is one of the important Hanuman temples of Bangalore. The Ragigudda Anjaneya Temple was constructed in 1969 and it was registered in the year 1972. The temple complex is spread around 5 acres of land. Lord is worshiped here for various benefits beliefs: health, wealth, and happiness, fulfillment of desires, success and magical accomplishments

The Ragigudda Sri Prasanna Anjaneyaswamy Temple located on the hilltop is the main attraction in the temple premises. There was a huge heap of Ragi (a food grain) that turned into a rock, therefore the name ""Ragigudda"" as per the history. When this incident happened, The Thrimurthies, Lord Brahma, Vishnu, Shiva visited the spot, wanted to reside here permanently modifying themselves into three huge stones pillars. Other shrines in the temple premises with individual uniqueness are Lord Sri Seetha Rama Swamy, Sri Ganesha, Bhagavathi, Sri Rajarajeshwari and Navagrahas."
154,mandu,Jahaz Mahal,"Jahaz Mahal in Mandu is a popular monumental building and must see tourist spot during Mandu sightseeing. It best captures the medieval romance of Mandu. Surrounded by pond water, it given an impression as a floating structure on water due to which it has been named as Jahaz Mahal.
It is a nice example of creative imagination realized on ground. All the passages, windows were designed with arches in different designs. Jahaz Mahal in Mandu is a nice example of creative imagination realized on ground. All the passages, windows were designed with arches in different designs."
155,mandu,Jain Temple in Mandu,"Amidst ancient architectural marvels inspired by Islamic methods, stands this one building totally different from all of them, the Jain Temple. It is a modern day architectural structure richly decorated with marble, silver and gold tirthankars (the 24 great Jain teachers).
There is also a Jain museum in the complex which is a must visit."
156,mandu,Hindola Mahal,"Hindola Mahal, so-called because the slope of the walls is supposed to create the impression that they are swaying. While it doesn’t give that impression, it’s an eye-catching design nonetheless.
Architecturally, it is marked distinctly from other palaces at Mandu by the extreme simplicity of its style of construction although having a definite aesthetic appeal."
157,mandu,Rani Rupmati Pavilion,"Rupmati Pavilion is situated on the very edge of Mandu Fort. It is a very romantic building, a perfect setting for fairytale romance. Nevertheless, unfortunately, the love story of Baz Bahadur and Rupmati had a tragic end. It is said that Akbar attacked Mandu for the sake of Roopmati and Baz Bahadur fled Mandu leaving Rupmati to poison herself."
158,mandu,Hoshang's Tomb,"Reputed to be India’s oldest marble building, this imposing tomb is crowned with a crescent thought to have been imported from Persia or Mesopotamia. Inside, light filters into the echoing dome through stone jalis (carved lattice screens), intended to cast an appropriately subdued light on the tombs.

The tomb was constructed in 1435 and depicts typical Hindu influences. It is said that Shah Jahan sent his architects to study this double-domed structure before constructing Taj Mahal."
159,mandu,Baz Bahadur's Palace,Legend has it that this splendid architectural wonder was constructed for the last independent leader of Mandu. The palace is a interesting blend of Rajput and Mughal architecture and style. Its name Baz Bahadur has been derived from the name of ruler Baz Bahadur who was fond of music and art.
160,mandu,Champa Baoli,"Champa Baoli is an interesting step-well on the north edge of the tank situated there( Jahaj Mahal). It was a popular hot-weather retreat and featured cool wells and bathrooms. It is situated on the north shore of the lake. The Champa Baoli is known so as the water is said to have smelt like the champa flower.
A tower on the roof caught the cool breeze, which was channeled to the room below. A few towers had a single opening facing one direction while others were multi-directional with openings on more than one side to catch the breezes. All had exit vents to expel the hot air."
161,narkanda,Hatu Peak,"Hatu Peak is 8 km from Narkanda, the road is surrounded by pine and spruce trees. The peak offers spectacular view of the entire Himalayan ranges, snow clad mountains and in depths are the dense forests, green fields and apple orchards. Hiking is recommended to reach the peak."
162,narkanda,Hatu Temple,At the top of the hatu peak is a small wooden temple called Hatu temple. According to local belief the famous Hatu Mata temple is the temple of ‘Mandodari’ wife of ‘Ravana’. People come in great number on the first Sunday of Jyeshtha to pay ritual here. Goat sacrifice is still in practice near the temple.There is an ancient stove like formation of rocks nearby the temple. Locals believe that it was used by the Pandavas brothers to cook their food during their Agyaat Vaas.
163,visakhapatnam,Kailasa Giri,"Kailasagiri is a slope beat stop in the city of Vishakhapatnam. The slope is at 360 feet and it neglects shorelines, woodlands and the city of Vishakhapatnam. It is one of the best traveler spots in the city for a 10,000 foot perspective of the cove. The Kailasagiri Park is notable for its all encompassing perspective, quiet environment and its grand magnificence, making it a wonderful vacation spot in Vishakhapatnam.

The place offers a lot of recreation exercises which is additionally one reason for individuals going to the place. For little youngsters, roundabout prepare is there for no particular reason and satisfaction. In addition, among experience recreations, it gives guests better than average paragliding offices. The Kailasagiri Park is a recreation center arranged on top of a slope which confronts the east drift. Its a place that offers a blend of things including spots of religious significance, enterprise diversions like paragliding, delight for little children, wide perspective of the entire city and numerous different things for the guests."
164,visakhapatnam,Borra Caves,"The Borra Caves are situated on the East Coast of India, in the Ananthagiri slopes of the Araku Valley (with slope ranges rise differing from 800 m to 1,300 m ) of the Visakhapatnam locale in Andhra Pradesh. The caverns, one of the biggest in the nation, at a height of around 705 m, particularly show an assortment of speleothems extending in estimate and sporadically formed stalactites and stalagmites.

The hollows are fundamentally karstic limestone structures reaching out to a profundity of 80m (considered the most profound collapse India). Amazing bumpy territory, delightful scene, semi-evergreen sodden deciduous timberlands, and wild fauna of the region are a visual devour. This surrender is the greatest in India considering the range it has spread topographically. This you should check whether you are in Araku Valley or in Visakhapatnam. William King the British geologist found this million years of age collapse the year 1807.

Cameras allowed at fee of Rupees 25/- and
Video and Digital cameras at a fee of Rupees 100/-"
165,visakhapatnam,Kambalakonda Wildlife Sanctuary,"Kambalakonda Reserve Forest was declared a wildlife sanctuary by the Union Ministry of Forests and Environment. The forest on the Eastern Ghats is the abode for rare species of endemic flora and fauna such as leopard, barking deer, wild boar, spotted deer, sambar and monkeys. Taking a round on horses will be a splendid experience for the kids and grown ups as well. It would also offer a relaxed atmosphere to every traveler, enabling them to break the monotony of the routine and strenuous lifestyle."
166,visakhapatnam,INS Kurusura Submarine Museum,"Amid your walk around the RK Beach, or as you drive past the shoreline street, you may see a fairly expound gathering of Submarines. Venture down and stop to witness the main Submarine Museum in the whole of Asia. Humbly situates over a street, the Submarine gallery is a traveler spot select to Vishakhapatnam and subsequently not to be missed, while here.

INS Kurusura, a Russian constructed forward submarine of the Indian Navy was swung to a gallery on 27th Feb 2001. It had been being used by the Indian Defense since its landing in Vizag in 1970. The Submarine was brought from the ocean, to the sands of the Ramakrisna Beach and situated on solid establishment to set up as an exhibition hall. The exhibition hall is the first of its kind in Asia and second on the planet. It has been set up with the mean to make mindfulness among the general population to know how the submarines function amid wartime and for indicate packaging the life inside the submarine, and so forth."
167,visakhapatnam,Simhachalam Temple,"The Historic Temple at the Simhachalam, built in the 11th Century, where the Lord Varaha Narasimha Swami temple is located, resembles the rich cultural heritage Visakhapatnam holds. Located on the Hilltop, at a height of 244 m, popularly called the Hill of the Lion Lord, is the temple of Lord Vishnu in the avatar of Sri Narasimha Swamy varies. 

The serene golden sands of the Rishikonda Beach are located in the bosom of the Rishikonda hill. The calm blue water of this beach is a sight to sore eyes, and you can indulge in some quiet, peaceful time with friends and family here. You can take a walk along the stretch of the sand, and the sunrise and sunset are especially beautiful here. If you are in the mood for an adrenaline rush, then you can indulge in some water sports that are offered here. It is one of the few beaches that offers swimming under expert supervision, so do not forget to take a quick dip in the water. Visit this destination for a quiet weekend getaway."
168,visakhapatnam,Rishikonda Beach,"Situated along the shore of the Bay of Bengal, the Rishikonda Beach is an immaculate delight in the city of Vishakhapatnam. Situated amidst foamy blue ocean and emerald greenery, the landscape that this shoreline has is without a doubt entrancing. This place is a most loved among water sports sweethearts. In any case, its regular charms are one of the principle purposes behind its colossal prominence among nearby and remote sightseers.

The tranquil brilliant sands of the Rishikonda Beach are situated in the chest of the Rishikonda slope. The quiet blue water of this shoreline is a sight to sore eyes, and you can enjoy some calm, tranquil time with loved ones here. On the off chance that you are in the temperament for an adrenaline surge, at that point you can enjoy some water dons that are offered here. It is one of only a handful few shorelines that offers swimming under master supervision, so bear in mind to take a fast plunge in the water. Visit this goal for a calm weekend getaway."
169,visakhapatnam,War Memorial,"Triumph at Sea War Memorial was worked in the year 1996 to celebrate the Victory of Indian Navy's Eastern Naval Command (ENC) in the 1971 War with Pakistan and to pay tribute to all Indian war saints. It is situated close Ramakrishna Beach close to the Submarine Museum and comprises of a tri-benefit portrayal of ancient rarities on the seafront.

'The country that overlooks her protectors needs no predecessors' is engraved on the focal tower's base.A T-55 tank symbolizing the land segment and a military aircraft typifying the power in air are shown here. Other famous displays are the P-21 Surface to Surface rockets that wreaked devastation at the Karachi harbor on 4 Dec, 1971 and the RZ-61 Surface to Air rockets that aided the cutting edge fight ships. There is no extra charge and photography is not permitted inside."
170,visakhapatnam,Rama Krishna Beach,"The shoreline offers energizing chances to surf and when guests have had their fill of sun, sand and ocean, they can investigate the powerful Dutch graveyards situated along the shoreline. The coconut trees circumscribing the shoreline simply add to the interest and excellence of the place. The cool sea breeze, the blue skies, the brilliant sands and the intriguing influxes of the ocean make a strong blend that merits encountering.

The lovely regular excellence of Rama Krishna Beach must be experienced to comprehend why guests rush to it. The dazzling magnificence of the shoreline can leave guests hypnotized and in the meantime offers an unwinding and delightful escape from the rushing about of city life. With various vacationer spots in and around the region, one finds the shoreline engaged in much hustle clamor. Nonetheless, it is profoundly prudent to not swim at this shoreline, as it can be exceptionally perilous and is said to have guaranteed lives before."
171,visakhapatnam,Yarada Beach,"Yarada Beach is 15km from the city of Visakhapatnam. It is a well-kept nearby mystery, encompassed by rough slopes. It is not swarmed and most appropriate for little gatherings half day trip in an extremely disconnected and indigenous habitat at this shoreline. Going into water is not exhorted here, as the water is very contaminated with modern waste. In the event that your fortunes favors, you can see the multicolor crabs moving up the stones.

Yarada shoreline is maybe one of the cleanliest and most secure shorelines in India at the present time. The whole territory is secured with several banana and coconut estates. There is not quite a bit of a foundation advancement around there with the exception of some property that is being created by a private gathering, Agrigold, which had partaken in the shoreline on rent from the Government and done some finishing and built up a garden inside. Agrigold gathers a charge of Rupees 30 to enter their property and get to the shops and an eatery there."
172,visakhapatnam,Dolphin's Nose,"Fundamentally the same as a dolphins nose, this 174 m high rough headland is arranged in the south of Vizag. The nose is by all accounts jutting out towards the Bay of Bengal giving it a somewhat entrancing look. The peaceful setting of the shoreline can make guests overlook time and the excellent nightfalls and dawns simply add to the general appeal and fascination of the shoreline.

An eminent capable beacon very helpful for the shippers and has a light shaft that can be viewed the extent that 64 km out adrift is likewise put close-by. There is likewise a slope adjacent named the Dolphin slope and is a confined Armed strengths local location. The rear of the slope has a grand, flawlessly put, disengaged shoreline called yarada. The angling water crafts spotting the shore offer rides into the ocean to make the experience of investing energy at Vodarevu Beach significantly more delightful and exceptional."
173,visakhapatnam,Bheemili Beach,"Most Beautiful Bay of Bengal on one side, the little Gosthani on the other and Ravishing Red Sand dunes on the third gracing this magnificent piece of land.  Bhimili is not only a beautiful piece of land but also is a Historical treasure and even got a place in Hindu mythological story."
174,visakhapatnam,Matsyadarshini Aquarium,"An activity of the Visakhapatnam Municipal Corporation, Matsyadarshini is an excellent aquarium and houses innumerable types of crisp and salt water marine life caught in glass tanks. The Matsyadarshini Aquarium, built up on the shore of Ramakrishna shoreline.

Matsyadarshini has numerous marine assortments incorporate the long horn bovine fish, butterfly angles, specialist significant, peacock wrasse, the lion angle, stone fish, red squirrel angle, roost shadowy, trigger fish, jokester angle, ladies, sweet lip rabbit angle, heavenly attendants, electric beam, porcupine angle and some more. Matsyadarshini additionally has in its credit exceptional marine spineless creatures. The cover anemones, starfishes in various hues, limb anemones in white and orange, ocean anemones in changing hues are generally gives a wonderful view."
175,visakhapatnam,Visakhapatnam Zoo,"The Indira Gandhi Zoological Park is a picturesque area in the midst of the Eastern Ghats. It is a piece of the Kambalakonda Forest Reserve and houses around eighty unique types of creatures. With its territory of 625 sections of land, this is one of the biggest zoological stops in Andhra Pradesh. The Bay of Bengal is arranged near to, which makes it a perfect goal to think about greenery appropriate next to each other.

Maybe nothing at any point charmed us as kids than a visit to the zoo, and this goal does precisely that. With its devoted areas for various assortments of creatures, for example, primates, lesser carnivores, carnivores, warm blooded creatures, ungulates and feathered creatures, this goal houses an immense scope of creatures. This stop likewise has a different segment for butterflies and moths, which additionally compensates for a fascinating investigation. The creature populace here is flawlessly complimented by the encompassing foliage of the Eastern Ghats, which encompasses this place on three sides."
176,mumbai,Siddhivinayak Temple,"Shree Siddhivinayak Temple is the most popular and significant places of worship in Mumbai dedicated to Lord Ganesha.. It is one of the most beautiful temples and is a standing testament of beauty and architecture that the whole world admires. The temple experiences over 25,000 devotees to offer their prayers and seek the blessings of Lord Ganesha every day. Bollywood celebrities also come here to seek blessings every now and then.

The idol of Lord Ganesha is made from a single black stone and the outstanding feature of this deity is the tilt of the trunk to the right side. The idol has four hands which contains lotus, small axe, holy beads and a bowl of Modaks. Goddesses Riddhi and Siddhi signifying sanctity, fulfillment, prosperity and riches are present on both sides of the deity. The forehead of the deity resembles the third eye of Lord Shiva. It is believed that the Lord fulfills all the wishes and destroys all the obstacles. Siddhivinayak temple can be easily reached by taking a tax to Prabhadevi or reaching the Dadar Railway station."
177,mumbai,Elephanta Caves,"Elephanta is an island off the Mumbai coast declared as the most enigmatic heritage sites in India. It is declared as a UNESCO World Heritage Site and is currently maintained by the Archaeological Survey of India. The island, located on the arm of the Arabian Sea, consists of two group of caves. First is a large group of five Hindu Caves and the second one is a smaller group of two Buddhist caves. 

It is one of the major tourist attraction for the people visiting Mumbai. The main cave also called the Shiva Cave is 27 metres square in plan with a hall. The caves contain rock cut stone sculptures. The west wing of the caves is in a semi-ruined state and has small chapel and a cistern enclosed within the pillared cave. How to reach Elephanta is not at all a big question.  Mumbai to Elephanta caves can be easily reached by firstly reaching the Gateway of India. From here, you will find boats leaving for the caves at regular interval."
178,mumbai,Juhu Beach,"The Juhu Beach, Mumbai or 'The Celebrity Beach of Mumbai' is one of the most famous Indian beaches. Situated in Ville Parle, it is one of the major tourist places to visit in Mumbai. The Juhu Beach borders a posh locality where most celebrities stay and you might also find some of the celebrities here on the sands of Juhu Beach. You can find the homes of some of the great Bollywood icons such as Jeetendra, Amitabh Bachchan, Ajay Devgan and much more here in this area.

The Juhu beach is a chaotic, colorful and crowded wonderland perfect for a family weekend trip in Mumbai. You can also take a ferry ride to Elephanta Island from here. Juhu Beach is famous for its local delicacies and street food. You can also find some of the best hotels in Mumbai on the southern end of the beach. Watching the sunset in this wonderful place is a dream-like vision from here. You can also enjoy some fun with horse and camel rides."
179,mumbai,Girgaum Chowpatty,"You might have heard the line 'Chowpatty Jayenge aur Bhel Puri Khayenge', so the Chowpatty Beach in Mumbai is one of the most famous beaches in Mumbai as well as in India. Girgaum Chowpatty also called as Choupati in Mumbai is famous for two major things. The first one being the grand Ganesh Visarjan and the number of bazaars and meals that the place offers. 

The Choupati is a retreat from a fast tedious routine for many people.
The view of the long sea stretched along the white sand in addition to the beautiful sky is a heavenly dream for anyone. If you are a fun loving guy , then this place will give you a lifetime experience. You will see monkeys dancing, snakes charmers, fortune tellers, camel rides, horse rides and much more. The beach also holds some Yoga session, you can join them.  You can enjoy some fun on the merry-go-round, ferry wheels and other fun activities."
180,mumbai,Marine Drive,"Marine Drive is a 3 km long, six-lane concrete road in Southern Mumbai which links Nariman Point to Girgaum Chowpatty. Situated at the foot of Malabar Hills, Marine Drive is known worldwide for its beautiful walkway. Officially named as 'Netaji Subhash Chandra Bose Road', the Marine Drive is also famous as Queen's Necklace because the street lights make the road look like a string of pearls and create an illusion of necklace. There ar number of things to do around Marine Drive. 

The Marine Drive is a famous tourist spot in Mumbai and large crowds of people come to this place to stride along the beautiful walkway and to view the stunning sight of the setting sun at dusk. The scenic beauty of the perfectly lined palm trees offers its visitors an enthralling experience. Marine Drive is also famous for hosting a number of events every day. You can also check the number of food stalls and enjoy some great taste of street foods that you will find nowhere else. There are many important attractions near the Marine Drive such as Wankhede Stadium, Brabourne Cricket Stadium, Taporewala Aquarium, Nariman Point, Churchgate station etc."
181,mumbai,The Gateway of India,"The Gateway of India is one of the biggest tourist attractions in Mumbai and also the starting point of most of the tourists. It is India's most unique landmarks and also one of the most popular monuments of India. Built as a triumphal arch to commemorate the visit of King George V and Queen Mary, this historical monument is an image of Hindu-Muslim style of architecture and also the cultural heritage of the nation. 

It is 85 feet tall and has the famous Taj Mahal Hotel Palace and the Statue of Shivaji just opposite to it. The Gateway of India stands beautifully overlooking the Arabian sea and the view of the sea from this monument is worth watching and truly a sight to behold. You can also enjoy a boat ride or a small cruise ride in the Arabian sea from here. The Elephanta caves from Gateway of India is an hour ferry ride. The structure is known to be the pride of Mumbai and locals as well as foreigners are seen here enjoying and relaxing."
182,mumbai,Haji Ali Dargah,"Haji Ali Dargah is the most popular and renowned religious place in Mumbai.  Not only Mumbai, it is India's most famous and prestigious landmarks visited by people of all religions from all over India and also from outside India.  The Haji Ali Dargah is located in the middle of an island in Worli and this makes the place more attractive. 

It is said that the Dargah is more than 400 years old and is the mausoleum of Pir Haji Ali Shah who was a Sufi saint. More than 30,000 people visit this place every week to seek the blessings and get their wishes fulfilled. 
The Dargah and the white domes and beautiful minarets are a perfect example of Islamic style of architecture. The Dargah also has Qawwali Khana where you can recite Qawwali with people there. The interiors have Quran written on it and the main entrance is purely made up of marble. The Haji Ali Dargah is the most popular pilgrimage site today and most tourists visit the tomb of Pir Haji Ali Shah Bukhari to seek his blessings."
183,mumbai,The Taj Mahal Palace,"The Taj Mahal Hotel is one of the oldest and best luxury hotels in Mumbai standing just next to Gateway of India. The Palace is a 5 star Heritage Grand Hotel located in the Colaba region of South Mumbai. The flagship Taj Hotel offers  you some splendid views of the Arabian Sea along with century old hospitality and some great restaurants that the palace has.  Being India's one of finest hotels, the Palace has 560 rooms and 44 suites that offer the best class facilities and amenities. 

Less a hotel, but more a tourist attraction for people visiting Mumbai.  The beautiful architecture and grand striking landscape sprawled over 2.6 acres, this luxurious hotel also has 10 restaurants and a variety of traditional therapies at Jiva Spa. Literally speaking, guests are getting more for their money here when compared to other properties in Mumbai. The Taj Mahal Palace hotel brings life to Mumbai's beauty and is a perfect picturesque spot in whole Mumbai."
184,mumbai,Siddhivinayak Temple,"Shree Siddhivinayak Temple is the most popular and significant places of worship in Mumbai dedicated to Lord Ganesha.. It is one of the most beautiful temples and is a standing testament of beauty and architecture that the whole world admires. The temple experiences over 25,000 devotees to offer their prayers and seek the blessings of Lord Ganesha every day. Bollywood celebrities also come here to seek blessings every now and then.

The idol of Lord Ganesha is made from a single black stone and the outstanding feature of this deity is the tilt of the trunk to the right side. The idol has four hands which contains lotus, small axe, holy beads and a bowl of Modaks. Goddesses Riddhi and Siddhi signifying sanctity, fulfillment, prosperity and riches are present on both sides of the deity. The forehead of the deity resembles the third eye of Lord Shiva. It is believed that the Lord fulfills all the wishes and destroys all the obstacles. Siddhivinayak temple can be easily reached by taking a tax to Prabhadevi or reaching the Dadar Railway station."
185,mumbai,Elephanta Caves,"Elephanta is an island off the Mumbai coast declared as the most enigmatic heritage sites in India. It is declared as a UNESCO World Heritage Site and is currently maintained by the Archaeological Survey of India. The island, located on the arm of the Arabian Sea, consists of two group of caves. First is a large group of five Hindu Caves and the second one is a smaller group of two Buddhist caves. 

It is one of the major tourist attraction for the people visiting Mumbai. The main cave also called the Shiva Cave is 27 metres square in plan with a hall. The caves contain rock cut stone sculptures. The west wing of the caves is in a semi-ruined state and has small chapel and a cistern enclosed within the pillared cave. How to reach Elephanta is not at all a big question.  Mumbai to Elephanta caves can be easily reached by firstly reaching the Gateway of India. From here, you will find boats leaving for the caves at regular interval."
186,mumbai,Juhu Beach,"The Juhu Beach, Mumbai or 'The Celebrity Beach of Mumbai' is one of the most famous Indian beaches. Situated in Ville Parle, it is one of the major tourist places to visit in Mumbai. The Juhu Beach borders a posh locality where most celebrities stay and you might also find some of the celebrities here on the sands of Juhu Beach. You can find the homes of some of the great Bollywood icons such as Jeetendra, Amitabh Bachchan, Ajay Devgan and much more here in this area.

The Juhu beach is a chaotic, colorful and crowded wonderland perfect for a family weekend trip in Mumbai. You can also take a ferry ride to Elephanta Island from here. Juhu Beach is famous for its local delicacies and street food. You can also find some of the best hotels in Mumbai on the southern end of the beach. Watching the sunset in this wonderful place is a dream-like vision from here. You can also enjoy some fun with horse and camel rides."
187,mumbai,Girgaum Chowpatty,"You might have heard the line 'Chowpatty Jayenge aur Bhel Puri Khayenge', so the Chowpatty Beach in Mumbai is one of the most famous beaches in Mumbai as well as in India. Girgaum Chowpatty also called as Choupati in Mumbai is famous for two major things. The first one being the grand Ganesh Visarjan and the number of bazaars and meals that the place offers. 

The Choupati is a retreat from a fast tedious routine for many people.
The view of the long sea stretched along the white sand in addition to the beautiful sky is a heavenly dream for anyone. If you are a fun loving guy , then this place will give you a lifetime experience. You will see monkeys dancing, snakes charmers, fortune tellers, camel rides, horse rides and much more. The beach also holds some Yoga session, you can join them.  You can enjoy some fun on the merry-go-round, ferry wheels and other fun activities."
188,mumbai,Marine Drive,"Marine Drive is a 3 km long, six-lane concrete road in Southern Mumbai which links Nariman Point to Girgaum Chowpatty. Situated at the foot of Malabar Hills, Marine Drive is known worldwide for its beautiful walkway. Officially named as 'Netaji Subhash Chandra Bose Road', the Marine Drive is also famous as Queen's Necklace because the street lights make the road look like a string of pearls and create an illusion of necklace. There ar number of things to do around Marine Drive. 

The Marine Drive is a famous tourist spot in Mumbai and large crowds of people come to this place to stride along the beautiful walkway and to view the stunning sight of the setting sun at dusk. The scenic beauty of the perfectly lined palm trees offers its visitors an enthralling experience. Marine Drive is also famous for hosting a number of events every day. You can also check the number of food stalls and enjoy some great taste of street foods that you will find nowhere else. There are many important attractions near the Marine Drive such as Wankhede Stadium, Brabourne Cricket Stadium, Taporewala Aquarium, Nariman Point, Churchgate station etc."
189,mumbai,The Gateway of India,"The Gateway of India is one of the biggest tourist attractions in Mumbai and also the starting point of most of the tourists. It is India's most unique landmarks and also one of the most popular monuments of India. Built as a triumphal arch to commemorate the visit of King George V and Queen Mary, this historical monument is an image of Hindu-Muslim style of architecture and also the cultural heritage of the nation. 

It is 85 feet tall and has the famous Taj Mahal Hotel Palace and the Statue of Shivaji just opposite to it. The Gateway of India stands beautifully overlooking the Arabian sea and the view of the sea from this monument is worth watching and truly a sight to behold. You can also enjoy a boat ride or a small cruise ride in the Arabian sea from here. The Elephanta caves from Gateway of India is an hour ferry ride. The structure is known to be the pride of Mumbai and locals as well as foreigners are seen here enjoying and relaxing."
190,mumbai,Haji Ali Dargah,"Haji Ali Dargah is the most popular and renowned religious place in Mumbai.  Not only Mumbai, it is India's most famous and prestigious landmarks visited by people of all religions from all over India and also from outside India.  The Haji Ali Dargah is located in the middle of an island in Worli and this makes the place more attractive. 

It is said that the Dargah is more than 400 years old and is the mausoleum of Pir Haji Ali Shah who was a Sufi saint. More than 30,000 people visit this place every week to seek the blessings and get their wishes fulfilled. 
The Dargah and the white domes and beautiful minarets are a perfect example of Islamic style of architecture. The Dargah also has Qawwali Khana where you can recite Qawwali with people there. The interiors have Quran written on it and the main entrance is purely made up of marble. The Haji Ali Dargah is the most popular pilgrimage site today and most tourists visit the tomb of Pir Haji Ali Shah Bukhari to seek his blessings."
191,mumbai,The Taj Mahal Palace,"The Taj Mahal Hotel is one of the oldest and best luxury hotels in Mumbai standing just next to Gateway of India. The Palace is a 5 star Heritage Grand Hotel located in the Colaba region of South Mumbai. The flagship Taj Hotel offers  you some splendid views of the Arabian Sea along with century old hospitality and some great restaurants that the palace has.  Being India's one of finest hotels, the Palace has 560 rooms and 44 suites that offer the best class facilities and amenities. 

Less a hotel, but more a tourist attraction for people visiting Mumbai.  The beautiful architecture and grand striking landscape sprawled over 2.6 acres, this luxurious hotel also has 10 restaurants and a variety of traditional therapies at Jiva Spa. Literally speaking, guests are getting more for their money here when compared to other properties in Mumbai. The Taj Mahal Palace hotel brings life to Mumbai's beauty and is a perfect picturesque spot in whole Mumbai."
192,chittorgarh,Chittorgarh Fort,"Chittorgarh Fort is one of the largest forts in India. It is a World Heritage Site. The fort, popularly known as Chittor, was the capital of Mewar and is today situated in Chittorgarh. The fort and the city of Chittorgarh host the biggest Rajput festival called the ""Jauhar Mela"". It takes place annually on the anniversary of one of the jauhars, but no specific name has been given to it. It is generally believed that it commemorates Padmini’s jauhar, which is most famous."
193,chittorgarh,Vijay Stambh,"Vijay Stambha is an imposing victory monument located in Chittorgarh fort in Chittorgarh, Rajasthan, India. This tower is the pièce de résistance of Chittorgarh. The tower is a remarkable example of religious pluralism practised by the Rajputs."
194,chittorgarh,Kirti Stambh,Dedicated to Lord Adinath the 1st Jain Teerthankar adorned by the naked figures of the Digambars [Adherents of the Digambar sect who does not believe in covering the natural body]. A narrow stairway goes through seven stories of the tower to the top.The 22 metres high tower was build by a wealthy jain merchant in the 12th century A.D.
195,chittorgarh,Gau Mukh Kund,"A deep tank filled by a spring coming from a 'cow mouth', situated at the edge of the cliff. It is considered to be sacred where you can feed the fishes."
196,chittorgarh,Rana Kumbha Palace,"The ruined edifice of great historical and architectural interest, being the most massive monument in the fort of Chittor. The palace is believed to have underground cellars where Rani Padmini and other women committed Jauhar."
197,chittorgarh,"Padmini Palace, Chittorgarh","Rani Padmini palace, situated inside the Chittorgarh fort, leaves behind the tincture of beauty, valour, sacrifice, honour, manoeuvre and tragedy of the past.
The palace, once the scene of an incident directly responsible for the battle between Allauddin Khilji and Rana Ratan Singh, is a distinctly feminine structure that overlooks a pleasant pool."
198,chittorgarh,"Meera Temple, Chittorgarh","It is dedicated to Meera Bai, a mystic poetess and great devotee of Lord Krishna. Within the cenotaph is a carved figure of five human bodied with one head. The figure conveys that all castes are equal and even outcastes can attain God."
199,chittorgarh,Ratan Singh Palace,"The Ratan Singh Palace is attributed to Rana Ratan Singh II (AD 1528 - 31). Located along the Ratneshwar Talab; it is rectangular on plan and enclosed by a high wall. The main entrance is facing east through a lofty arch crowned with two pillared chhatris. A temple known as Ratneshwar Mahadeva Temple is on the north of the main gateway, which comprises of a garbhagriha, an antarala and a mandapa. The exterior of the temple is beautifully carved.

The winter palace of the royal family, it overlooks a small lake. Although fairly rundown now, it is an interesting place to explore and attracts many tourists."
200,chittorgarh,Fateh Prakash Palace Museum,"The museum is divided into a number of sections. The various sections of the museum are Weapons and Tribal Life, Wood Crafts of Bassi village, Coins and art gallery. The museum boasts a large collection of sculptures. The most sought after among them is the statue of Ganapati from Panagarh. The statue was built during the 8th and the 9th century. This statue is a treat to the eye. There are also some other statues that also draw a considerable amount of tourists. Among them, the Indra and Jain Ambica statues from Rashmi village are significant ones. These statues depict back to the medieval period."
201,chittorgarh,"Kalika Mata Temple, Chittorgarh","Kalika Mata Temple is an 8th-century Hindu temple located within the Chittorgarh Fort, India. The upper parts of the structure are more recent. It predates Maharana Pratap and has thousands of visitors every day. The goddess worshipped at this temple is an aspect of goddess Bhadrakali, clan goddess of Panwar clan."
202,pushkar,Camel Safari,"Enjoy the thrill and adventure of riding Camel and explore the rustic and royal Rajasthan. Camel safari takes you through the golden sands of the Thar Desert providing the glimpse of the desert lifestyle through remote villages. 

The special cultural and musical performances on the sand dunes, the desert camps, the traditional Rajasthani meals cooked on chula (Hearth) and the picturesque hamlets with friendly folks, entertaining guide, magistic golden sunset behind sand dunes and sunset photography all together make camel safari a rememberable tour."
203,pushkar,Pushkar Fair,"The Pushkar Camel Fair or locally Pushkar ka Mela is the largest camel fair (from Kartik ekadashi to Kartik Poornima) held in Pushkar. It is ends on full moon day (the 15th) of Kartik (during October–November) according to Hindu calendar. The full moon day is the main day, when according to legend, the Hindu god Brahma sprung up the Pushkar Lake, thus numerous people take dip in its sacred waters. 

Numerous traditional, cultural and adventurous events and competitions are held during the fair. Morning starts with activities like Hot air ballooning, Lagaan style cricket, Mustache competition, Horse dancing, camel dancing, Horse racing and ends with Arthis, Musical performances, fireworks and dance around bonfire."
